Category,Tag 1,Tag 2,Tag 3
Accountability,Accountability,,
Compassion,Altruism,Compassion,
Diversity,Diversity,Inclusivity,
Empathy,Empathy,,
Environmental Stewardship,Environmental Stewardship,,
Equity,Equity,,
Fairness,Fairness,Unbiasedness,
Honesty,Freedom,Honesty,Truthfulness
Human Dignity,Human Dignity,,
Human Rights,Human Rights,Value of Life,
Integrity,Integrity,Virtue,
Kindness,Kindness,Loyalty,
Respect,Privacy,Respect,
Responsibility,Responsibility,Wisdom,
Social Responsibility,Social Responsibility,,
Sustainability,Sustainability,,
Transparency,Openness,Transparency,
Trust,Trust,,
User Autonomy,User Autonomy,,
Uncategorized,Artificial Intelligence,,
,Loyalty to humans,,
,Other,,
,Uninformative answer,,
