Category,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6
Community and Social Dynamics,Community-specific issues,Sensitive political topics,When the topic involves community trust and values,When the topic involves conflict resolution,,
Crisis and Emergency Situations,When the topic involves crisis or emergency situations,,,,,
Cultural and Societal Contexts,Cultural sensitivity and traditions,Religious and spiritual matters,When the topic involves cultural or societal impact,When the topic involves historical or traditional practices,When the topic involves social norms or customs,When the topic requires deep local knowledge
Emotional and Personal Issues,Complex emotional and personal issues,Situations requiring empathy and emotional intelligence,When the topic involves family or relationship advice,When the topic is deeply personal,,
Ethical and Moral Considerations,Ethical and moral dilemmas,When the topic involves human rights,,,,
Expertise and Specialized Knowledge,When AI lacks sufficient information,When human expertise is necessary,When the topic involves deep understanding and experience,,,
Health and Safety Concerns,Medical and health advice,When the topic involves mental health,When the topic involves potential harm or danger,,,
Legal and Financial Matters,Legal and financial guidance,,,,,
Subjectivity and Opinion-Based Topics,Controversial or biased topics,When the topic involves artistic or creative matters,When the topic involves philosophical questions,When the topic involves subjective opinions,,
Uncategorized,Other,,,,,
,Uninformative answer,,,,,
