Segment Name,Participant Count,Onboarding Question
Arabic,17,O1
Chinese Simplified,105,O1
English,997,O1
French,13,O1
Hindi,5,O1
Portuguese,38,O1
Russian,29,O1
Spanish,90,O1
&lt;18,2,O2
18-25,445,O2
26-35,527,O2
36-45,197,O2
46-55,89,O2
56-65,26,O2
65+,8,O2
Female,656,O3
Male,624,O3
Non-binary,10,O3
Other / prefer not to say,4,O3
Rural,97,O4
Suburban,351,O4
Urban,846,O4
Equally concerned and excited,720,O5
More concerned than excited,127,O5
More excited than concerned,447,O5
Buddhism,37,O6
Christianity,431,O6
Hinduism,158,O6
I do not identify with any religious group or faith,398,O6
Islam,220,O6
Judaism,23,O6
Other religious group,19,O6
Sikhism,8,O6
Afghanistan,0,O7
Albania,0,O7
Algeria,8,O7
Andorra,0,O7
Angola,1,O7
Antigua & Deps,1,O7
Argentina,1,O7
Armenia,1,O7
Australia,14,O7
Austria,2,O7
Azerbaijan,0,O7
Bahamas,0,O7
Bahrain,0,O7
Bangladesh,15,O7
Barbados,0,O7
Belarus,0,O7
Belgium,3,O7
Belize,0,O7
Benin,0,O7
Bhutan,0,O7
Bolivia,0,O7
Bosnia Herzegovina,0,O7
Botswana,0,O7
Brazil,42,O7
Brunei,0,O7
Bulgaria,0,O7
Burkina,0,O7
Burundi,0,O7
Cambodia,0,O7
Cameroon,0,O7
Canada,44,O7
Cape Verde,0,O7
Central African Rep,0,O7
Chad,0,O7
Chile,56,O7
China,88,O7
Colombia,1,O7
Comoros,0,O7
Congo,0,O7
Congo {Democratic Rep},0,O7
Costa Rica,1,O7
Croatia,1,O7
Cuba,0,O7
Cyprus,0,O7
Czech Republic,1,O7
Denmark,2,O7
Djibouti,0,O7
Dominica,0,O7
Dominican Republic,0,O7
East Timor,0,O7
Ecuador,0,O7
Egypt,11,O7
El Salvador,0,O7
Equatorial Guinea,0,O7
Eritrea,1,O7
Estonia,0,O7
Ethiopia,0,O7
Fiji,1,O7
Finland,2,O7
France,9,O7
Gabon,0,O7
Gambia,0,O7
Georgia,1,O7
Germany,21,O7
Ghana,3,O7
Greece,4,O7
Grenada,0,O7
Guatemala,0,O7
Guinea,0,O7
Guinea-Bissau,0,O7
Guyana,0,O7
Haiti,0,O7
Honduras,0,O7
Hungary,3,O7
Iceland,1,O7
India,234,O7
Indonesia,42,O7
Iran,0,O7
Iraq,0,O7
Ireland {Republic},6,O7
Israel,35,O7
Italy,16,O7
Ivory Coast,0,O7
Jamaica,0,O7
Japan,13,O7
Jordan,0,O7
Kazakhstan,18,O7
Kenya,190,O7
Kiribati,0,O7
Korea North,0,O7
Korea South,16,O7
Kosovo,0,O7
Kuwait,0,O7
Kyrgyzstan,0,O7
Laos,0,O7
Latvia,0,O7
Lebanon,0,O7
Lesotho,0,O7
Liberia,0,O7
Libya,0,O7
Liechtenstein,0,O7
Lithuania,0,O7
Luxembourg,0,O7
Macedonia,0,O7
Madagascar,0,O7
Malawi,1,O7
Malaysia,9,O7
Maldives,0,O7
Mali,0,O7
Malta,0,O7
Marshall Islands,0,O7
Mauritania,0,O7
Mauritius,0,O7
Mexico,21,O7
Micronesia,0,O7
Moldova,0,O7
Monaco,0,O7
Mongolia,1,O7
Montenegro,0,O7
Morocco,20,O7
Mozambique,0,O7
"Myanmar, {Burma}",0,O7
Namibia,0,O7
Nauru,0,O7
Nepal,1,O7
Netherlands,6,O7
New Zealand,5,O7
Nicaragua,0,O7
Niger,0,O7
Nigeria,2,O7
Norway,5,O7
Oman,0,O7
Pakistan,26,O7
Palau,0,O7
Palestine,3,O7
Panama,1,O7
Papua New Guinea,0,O7
Paraguay,0,O7
Peru,1,O7
Philippines,22,O7
Poland,6,O7
Portugal,2,O7
Qatar,0,O7
Romania,1,O7
Russian Federation,9,O7
Rwanda,0,O7
Saint Vincent & the Grenadines,0,O7
Samoa,0,O7
San Marino,0,O7
Sao Tome & Principe,0,O7
Saudi Arabia,4,O7
Senegal,0,O7
Serbia,0,O7
Seychelles,0,O7
Sierra Leone,0,O7
Singapore,7,O7
Slovakia,10,O7
Slovenia,0,O7
Solomon Islands,0,O7
Somalia,0,O7
South Africa,23,O7
South Sudan,0,O7
Spain,9,O7
Sri Lanka,0,O7
St Kitts & Nevis,0,O7
St Lucia,0,O7
Sudan,0,O7
Suriname,0,O7
Swaziland,0,O7
Sweden,3,O7
Switzerland,2,O7
Syria,0,O7
Taiwan,0,O7
Tajikistan,0,O7
Tanzania,1,O7
Thailand,1,O7
Togo,0,O7
Tonga,0,O7
Trinidad & Tobago,1,O7
Tunisia,1,O7
Turkey,13,O7
Turkmenistan,0,O7
Tuvalu,0,O7
Uganda,0,O7
Ukraine,5,O7
United Arab Emirates,2,O7
United Kingdom,49,O7
United States,100,O7
Uruguay,0,O7
Uzbekistan,1,O7
Vanuatu,0,O7
Vatican City,0,O7
Venezuela,1,O7
Vietnam,10,O7
Yemen,0,O7
Zambia,0,O7
Zimbabwe,0,O7
44+,123,
55+,34,
Africa,262,
Asia,559,
Caribbean,2,
Central America,23,
Central Asia,19,
Eastern Africa,193,
Eastern Asia,118,
Eastern Europe,35,
Europe,179,
Middle Africa,1,
North America,169,
Norther Europe,68,
Northern Africa,40,
Northern America,144,
Oceania,20,
South America,102,
South Eastern Asia,91,
Souther Asia,276,
Southern Africa,23,
Southern Europe,32,
Western Africa,5,
Western Asia,59,
Western Europe,43,
